"Subj","Day","Weight"
1,8,151
1,15,199
1,22,246
1,29,283
1,36,320
2,8,145
2,15,199
2,22,249
2,29,293
2,36,354
3,8,147
3,15,214
3,22,263
3,29,312
3,36,328
4,8,155
4,15,200
4,22,237
4,29,272
4,36,297
5,8,135
5,15,188
5,22,230
5,29,280
5,36,323
6,8,159
6,15,210
6,22,252
6,29,298
6,36,331
7,8,141
7,15,189
7,22,231
7,29,275
7,36,305
8,8,159
8,15,201
8,22,248
8,29,297
8,36,338
9,8,177
9,15,236
9,22,285
9,29,350
9,36,376
10,8,134
10,15,182
10,22,220
10,29,260
10,36,296
11,8,160
11,15,208
11,22,261
11,29,313
11,36,352
12,8,143
12,15,188
12,22,220
12,29,273
12,36,314
13,8,154
13,15,200
13,22,244
13,29,289
13,36,325
14,8,171
14,15,221
14,22,270
14,29,326
14,36,358
15,8,163
15,15,216
15,22,242
15,29,281
15,36,312
16,8,160
16,15,207
16,22,248
16,29,288
16,36,324
17,8,142
17,15,187
17,22,234
17,29,280
17,36,316
18,8,156
18,15,203
18,22,243
18,29,283
18,36,317
19,8,157
19,15,212
19,22,259
19,29,307
19,36,336
20,8,152
20,15,203
20,22,246
20,29,286
20,36,321
21,8,154
21,15,205
21,22,253
21,29,298
21,36,334
22,8,139
22,15,190
22,22,225
22,29,267
22,36,302
23,8,146
23,15,191
23,22,229
23,29,272
23,36,302
24,8,157
24,15,211
24,22,250
24,29,285
24,36,323
25,8,132
25,15,185
25,22,237
25,29,286
25,36,331
26,8,160
26,15,207
26,22,257
26,29,303
26,36,345
27,8,169
27,15,216
27,22,261
27,29,295
27,36,333
28,8,157
28,15,205
28,22,248
28,29,289
28,36,316
29,8,137
29,15,180
29,22,219
29,29,258
29,36,291
30,8,153
30,15,200
30,22,244
30,29,286
30,36,324
