"Subj","X","Y"
1,60.2,145.6
1,61.5,157.3
1,61.7,165.6
1,62.3,158.8
1,67.6,196.1
1,69.2,183.9
2,53.7,165
2,60.1,166.9
2,60.5,179
2,62.3,196.2
2,63,192.3
2,64,200.7
2,64.1,187.8
2,66.7,158.9
2,67.1,178.2
3,63.5,161.4
3,65.4,98.8
3,69.6,145.9
3,71,151.6
3,77.6,144.8
3,79.1,140.4
3,81.1,165.1
4,65,172.2
4,69.8,191.4
5,65.1,119
5,68.5,168.6
5,71.8,136.7
5,76.6,119.7
5,83.3,189
6,69.9,70
6,71.3,86.4
6,75,93.6
6,75.4,113.8
6,76.9,122.2
6,77.4,120.8
6,79.1,161.8
6,86.2,188.1
7,67.2,144.5
7,73.4,187.3
7,77.3,171.9
8,59.7,91.9
8,62.3,131
8,65.3,157.7
8,66.2,162.7
8,74.1,201.8
8,74.8,142.6
9,59.1,125.4
9,63.3,122.3
9,68.5,122.5
9,70.1,141.3
9,73.9,167.6
10,65.5,101.8
10,68.5,127.3
10,68.7,119.2
10,68.9,124.4
10,80.5,124.1
10,83.3,146.9
11,62,147.5
11,62.2,144.4
11,62.5,167.4
11,63.4,193.3
11,65.1,172.4
11,68,196.6
12,63.6,120.2
12,71.7,160
12,72,165.3
12,75.4,158.7
13,56,203.4
13,57.8,152.1
13,57.9,157.9
13,57.9,167.2
13,60,147.7
13,66.9,240.4
14,50.8,131.4
14,56.3,143.7
14,57.3,159.5
14,62.4,198.3
14,62.6,194.7
14,66.4,174
14,67.9,189.4
15,59.6,146.6
15,66,153.7
16,56.3,146.6
16,64.2,144.6
16,65.9,159.4
16,69.4,163.8
16,73.3,202.6
17,63.6,153.6
17,63.8,146.8
17,64.8,137.8
17,65.9,145
17,68.9,166.1
17,72.3,154
17,72.8,189.7
17,76.2,184.8
17,76.6,172.5
18,61.8,126.4
18,61.9,94.2
18,63.2,97.7
18,70.2,141.9
18,70.4,117.6
18,71.2,133.9
18,71.9,156
18,75.4,162.6
18,75.5,184.3
19,66.5,132.6
19,68.2,202
20,63.6,152.4
20,64.5,202.1
20,64.6,171.9
20,68.2,146.5
20,70.4,221.9
21,49.1,114.8
21,57.5,172.7
21,60.4,201.7
21,63.9,208.7
22,58.3,94.5
22,63,91.5
22,65.3,116.1
22,66.3,137.8
22,66.5,134.8
22,67.4,152.4
22,72.1,152.6
23,61.9,104.5
23,62.5,111.8
23,63.1,129.8
23,63.7,99.8
23,64,124.6
23,66.7,175.6
23,81.8,203.6
24,49.1,153.6
25,86.2,153.6
