"Year","Length","Rating"
1959,88,4
1946,117,5
1964,130,5
1938,85,4
1946,111,5
1971,105,4
1957,93,3
1970,119,4
1968,78,3
1962,77,3
1929,138,7
1962,107,4
1978,70,2
1972,60,2
1964,138,5
1951,122,5
1955,72,3
1955,109,4
1960,71,3
1962,61,2
1945,60,2
1978,103,3
1948,143,5
1934,64,3
1935,114,5
1955,121,5
1944,117,5
1972,110,4
1990,133,5
1930,91,4
1978,109,4
1993,95,3
1984,123,4
1989,86,2
1968,117,5
1938,143,6
1931,127,6
1947,64,3
1973,79,3
1926,123,5
1956,144,6
1992,62,1
1950,141,6
1956,126,5
1945,134,6
1949,75,3
1955,70,3
1965,94,4
1952,122,5
1994,93,3
1963,59,2
1937,119,5
1963,104,4
1943,93,4
1986,62,1
1946,101,4
1974,127,5
1974,130,5
1983,79,3
1981,113,4
1990,129,4
1944,91,4
1931,88,4
1945,95,4
1930,116,5
1951,73,3
1950,101,5
1956,99,4
1958,57,2
1956,76,3
1975,67,2
1927,128,6
1970,124,5
1958,125,5
1989,101,3
1926,71,4
1959,59,2
1954,123,5
1969,111,4
1979,133,5
1991,143,5
1969,85,3
1971,129,5
1987,66,1
1980,93,3
1960,138,5
1938,60,3
1994,69,1
1986,116,4
1967,113,4
1970,67,2
1987,64,1
1985,103,3
1940,101,5
1963,121,4
1933,120,5
1972,79,3
1980,72,2
1967,71,3
1926,139,7
1984,73,2
1959,124,5
1953,86,4
1975,126,5
1951,108,5
1957,83,3
1929,134,7
1963,78,3
1973,134,5
1987,71,1
1960,94,4
1960,95,4
1926,64,4
1963,98,4
1947,123,5
1950,101,4
1962,65,3
1977,70,2
1940,80,4
1968,133,5
1948,70,3
1927,125,6
1964,81,3
1926,77,4
1952,143,6
1979,85,3
1983,81,2
1988,101,3
1955,62,2
1954,89,4
1978,125,5
1977,89,3
1963,68,3
1930,82,4
1960,79,3
1961,105,4
1987,68,2
1939,112,5
1993,68,1
1974,108,4
1972,145,5
1936,79,4
1978,94,3
1935,92,5
1935,57,3
1940,107,5
1929,87,4
1954,98,4
1933,82,4
1954,128,5
1944,115,5
1945,110,5
1926,65,4
1939,61,3
1983,99,3
1983,125,4
1968,64,2
1929,56,3
1948,128,5
1988,105,3
1958,84,4
1950,142,6
1936,88,4
1993,70,1
1992,119,3
1933,145,7
1953,84,4
1958,122,5
1980,113,4
1991,122,4
1967,136,5
1994,110,3
1938,125,6
1972,122,5
1946,100,4
1935,90,4
1947,68,3
1948,96,4
1931,56,3
1993,140,4
1983,132,5
1974,142,5
1992,98,3
1962,97,4
1982,64,2
1945,114,5
1933,115,5
1936,64,3
1966,60,2
1958,69,2
1969,136,5
1979,98,3
1994,65,1
1949,97,4
1989,82,2
1933,100,5
1960,116,5
1943,121,5
1976,65,2
1981,134,5
1976,137,5
1947,138,6
1933,118,5
1993,113,3
1927,109,5
1981,133,5
1987,59,1
1993,93,2
1951,89,4
1936,85,4
1941,76,4
1933,116,5
1983,125,4
1982,120,5
1938,91,4
1989,75,2
1955,100,4
1954,142,6
1979,125,4
1987,81,2
1935,56,3
1946,105,5
1934,98,5
1984,66,1
1966,83,3
1952,120,5
1995,131,4
1970,95,3
1948,144,6
1948,80,4
1987,83,2
1985,93,3
1962,109,5
1964,67,2
1956,106,4
1935,120,6
1956,82,4
1993,119,4
1941,91,4
1940,83,4
1985,113,4
1976,137,5
1956,91,4
1944,57,2
1944,130,6
1983,95,2
1968,61,2
1927,142,7
1961,143,6
1988,81,2
1986,101,3
1977,104,4
1983,103,3
1987,123,4
1974,130,5
1935,96,5
1960,114,5
1979,72,2
1958,72,3
1968,114,4
1968,95,3
1961,95,4
1934,79,4
1989,81,2
1971,122,4
1977,100,4
1939,130,6
1931,133,6
1960,123,5
1986,138,5
1979,95,3
1928,75,4
1994,135,5
1946,134,6
1932,142,7
1946,131,6
1960,121,5
1932,77,4
1940,136,6
1940,78,4
1932,88,4
1981,142,5
1966,131,5
1937,113,5
1953,61,2
1944,92,4
1963,88,3
1968,142,5
1959,145,6
1926,84,4
1927,72,4
1988,126,4
1972,144,6
1964,59,2
1961,140,6
1988,94,3
1973,117,4
1960,99,4
1948,78,4
1993,81,2
1947,98,4
1993,95,3
1947,100,4
1980,73,2
1964,82,3
1993,108,3
1981,97,3
1942,76,4
1966,116,5
1942,93,4
1926,109,5
1937,99,5
1934,103,5
1959,128,5
1978,66,2
1987,94,2
1977,111,4
1993,83,2
1988,117,4
1952,63,2
1939,101,5
1971,110,4
1987,80,3
1979,62,2
1961,133,5
1937,121,6
1995,64,1
1994,67,1
1944,111,5
1951,86,3
1961,91,4
1954,126,5
1952,136,5
1978,60,1
1967,99,4
1990,60,1
1939,71,4
1936,105,5
1986,119,4
1948,111,4
1962,120,5
1929,134,7
1978,117,4
1989,134,4
1991,60,1
1953,64,2
1985,92,2
1929,116,6
1990,113,4
1956,104,5
1954,103,4
1948,131,5
1958,79,3
1929,58,4
1940,104,5
1944,101,5
1977,85,3
1979,106,4
1963,100,4
1962,125,5
1947,118,5
1982,80,3
1932,111,5
1981,79,3
1966,103,4
1988,77,2
1943,98,4
1941,145,7
1937,67,3
1965,95,4
1929,113,5
1975,64,2
1955,85,4
1926,89,5
1976,132,5
1951,105,4
1926,77,4
1954,61,2
1934,82,4
1954,87,3
1957,141,6
1955,108,4
1966,87,3
1950,97,4
1983,77,2
1953,70,3
1927,88,4
1993,121,4
1982,141,5
1978,63,2
1962,126,5
1986,138,5
1960,119,5
1945,101,5
1981,74,2
1951,87,4
1936,55,2
1951,92,4
1987,117,4
1955,104,4
