SeaweedAmt,Zone,Grazer
11,A,f
24,A,f
14,B,f
31,B,f
52,C,f
59,C,f
83,D,f
89,D,f
33,E,f
34,E,f
39,F,f
52,F,f
43,G,f
53,G,f
30,H,f
37,H,f
10,A,fF
13,A,fF
10,B,fF
15,B,fF
44,C,fF
50,C,fF
57,D,fF
73,D,fF
26,E,fF
42,E,fF
38,F,fF
42,F,fF
29,G,fF
36,G,fF
11,H,fF
40,H,fF
4,A,L
4,A,L
7,B,L
8,B,L
28,C,L
58,C,L
27,D,L
35,D,L
11,E,L
33,E,L
16,F,L
31,F,L
6,G,L
8,G,L
15,H,L
17,H,L
3,A,Lf
5,A,Lf
3,B,Lf
6,B,Lf
9,C,Lf
31,C,Lf
21,D,Lf
57,D,Lf
5,E,Lf
9,E,Lf
26,F,Lf
43,F,Lf
4,G,Lf
12,G,Lf
12,H,Lf
18,H,Lf
1,A,LfF
2,A,LfF
3,B,LfF
5,B,LfF
6,C,LfF
9,C,LfF
7,D,LfF
22,D,LfF
5,E,LfF
6,E,LfF
10,F,LfF
17,F,LfF
5,G,LfF
14,G,LfF
5,H,LfF
7,H,LfF
14,A,None
23,A,None
22,B,None
35,B,None
67,C,None
82,C,None
94,D,None
95,D,None
34,E,None
53,E,None
58,F,None
75,F,None
19,G,None
47,G,None
53,H,None
61,H,None
